Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
91:17:00:00,3,1,16:Charge Loop DC Level,-0.43999997,
91:18:00:00,3,0,11:PRTD 1,-157.698,
91:18:00:00,3,0,12:PRTD 2,-199.21117,
91:18:00:00,3,0,13:Ambient Temperature,26.796448,
91:18:00:00,3,0,14:LN2 Level,0.0,
91:18:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:18:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:18:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:19:00:00,3,0,11:PRTD 1,-157.66417,
91:19:00:00,3,0,12:PRTD 2,-199.20575,
91:19:00:00,3,0,13:Ambient Temperature,27.20462,
91:19:00:00,3,0,14:LN2 Level,0.0,
91:19:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:19:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:19:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:20:00:00,3,0,11:PRTD 1,-157.66417,
91:20:00:00,3,0,12:PRTD 2,-199.1949,
91:20:00:00,3,0,13:Ambient Temperature,27.408691,
91:20:00:00,3,0,14:LN2 Level,0.0,
91:20:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:20:00:00,3,1,73:DC Detector Leakage Current,10.582031,
91:20:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
91:21:00:00,3,0,11:PRTD 1,-157.698,
91:21:00:00,3,0,12:PRTD 2,-199.1732,
91:21:00:00,3,0,13:Ambient Temperature,27.00055,
91:21:00:00,3,0,14:LN2 Level,0.0,
91:21:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:21:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:21:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:22:00:00,3,0,11:PRTD 1,-157.70364,
91:22:00:00,3,0,12:PRTD 2,-199.1949,
91:22:00:00,3,0,13:Ambient Temperature,26.796448,
91:22:00:00,3,0,14:LN2 Level,0.0,
91:22:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:22:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:22:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:23:00:00,3,0,11:PRTD 1,-157.69237,
91:23:00:00,3,0,12:PRTD 2,-199.22202,
91:23:00:00,3,0,13:Ambient Temperature,27.00055,
91:23:00:00,3,0,14:LN2 Level,0.0,
91:23:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:23:00:00,3,1,73:DC Detector Leakage Current,10.582031,
91:23:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:00:00:00,3,0,11:PRTD 1,-157.65854,
92:00:00:00,3,0,12:PRTD 2,-199.20575,
92:00:00:00,3,0,13:Ambient Temperature,27.408691,
92:00:00:00,3,0,14:LN2 Level,0.0,
92:00:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:00:00:00,3,1,73:DC Detector Leakage Current,10.582031,
92:00:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:01:00:00,3,0,11:PRTD 1,-157.68109,
92:01:00:00,3,0,12:PRTD 2,-199.18405,
92:01:00:00,3,0,13:Ambient Temperature,27.20462,
92:01:00:00,3,0,14:LN2 Level,0.0,
92:01:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:01:00:00,3,1,73:DC Detector Leakage Current,10.582031,
92:01:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:02:00:00,3,0,11:PRTD 1,-157.71492,
92:02:00:00,3,0,12:PRTD 2,-199.2166,
92:02:00:00,3,0,13:Ambient Temperature,26.796448,
92:02:00:00,3,0,14:LN2 Level,0.0,
92:02:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:02:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:02:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:03:00:00,3,0,11:PRTD 1,-157.67545,
92:03:00:00,3,0,12:PRTD 2,-199.2166,
92:03:00:00,3,0,13:Ambient Temperature,27.20462,
92:03:00:00,3,0,14:LN2 Level,0.0,
92:03:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:03:00:00,3,1,73:DC Detector Leakage Current,-10.582001,
92:03:00:00,3,1,16:Charge Loop DC Level,-0.42,
92:04:00:00,3,0,11:PRTD 1,-157.67545,
92:04:00:00,3,0,12:PRTD 2,-199.18947,
92:04:00:00,3,0,13:Ambient Temperature,27.408691,
92:04:00:00,3,0,14:LN2 Level,0.0,
