Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
41:20:00:00,3,0,12:PRTD 2,-199.05386
41:20:00:00,3,0,13:Ambient Temperature,28.020935
41:20:00:00,3,0,14:LN2 Level,0
41:20:00:00,3,1,15:AC Detector Leakage Current,-262
41:20:00:00,3,1,73:DC Detector Leakage Current,0
41:20:00:00,3,1,16:Charge Loop DC Level,-0.4
41:21:00:00,3,0,11:PRTD 1,-156.77853
41:21:00:00,3,0,12:PRTD 2,-199.0647
41:21:00:00,3,0,13:Ambient Temperature,28.020935
41:21:00:00,3,0,14:LN2 Level,0
41:21:00:00,3,1,15:AC Detector Leakage Current,-262
41:21:00:00,3,1,73:DC Detector Leakage Current,0
41:21:00:00,3,1,16:Charge Loop DC Level,-0.4
41:22:00:00,3,0,11:PRTD 1,-156.77289
41:22:00:00,3,0,12:PRTD 2,-199.05386
41:22:00:00,3,0,13:Ambient Temperature,28.020935
41:22:00:00,3,0,14:LN2 Level,0
41:22:00:00,3,1,15:AC Detector Leakage Current,-262
41:22:00:00,3,1,73:DC Detector Leakage Current,-21.164001
41:22:00:00,3,1,16:Charge Loop DC Level,-0.43999997
41:23:00:00,3,0,11:PRTD 1,-156.77853
41:23:00:00,3,0,12:PRTD 2,-199.05386
41:23:00:00,3,0,13:Ambient Temperature,28.020935
41:23:00:00,3,0,14:LN2 Level,0
41:23:00:00,3,1,15:AC Detector Leakage Current,-262
41:23:00:00,3,1,73:DC Detector Leakage Current,-42.328033
41:23:00:00,3,1,16:Charge Loop DC Level,-0.48
42:00:00:00,3,0,11:PRTD 1,-156.77289
42:00:00:00,3,0,12:PRTD 2,-199.0647
42:00:00:00,3,0,13:Ambient Temperature,28.020935
42:00:00:00,3,0,14:LN2 Level,0
42:00:00:00,3,1,15:AC Detector Leakage Current,-262
42:00:00:00,3,1,73:DC Detector Leakage Current,-10.582001
42:00:00:00,3,1,16:Charge Loop DC Level,-0.42
42:01:00:00,3,0,11:PRTD 1,-156.6713
42:01:00:00,3,0,12:PRTD 2,-199.07556
42:01:00:00,3,0,13:Ambient Temperature,29.245453
42:01:00:00,3,0,14:LN2 Level,0
42:01:00:00,3,1,15:AC Detector Leakage Current,-261
42:01:00:00,3,1,73:DC Detector Leakage Current,-10.582001
42:01:00:00,3,1,16:Charge Loop DC Level,-0.42
42:02:00:00,3,0,11:PRTD 1,-156.60358
42:02:00:00,3,0,12:PRTD 2,-199.08641
42:02:00:00,3,0,13:Ambient Temperature,29.449524
42:02:00:00,3,0,14:LN2 Level,0
42:02:00:00,3,1,15:AC Detector Leakage Current,-261
42:02:00:00,3,1,73:DC Detector Leakage Current,-10.582001
42:02:00:00,3,1,16:Charge Loop DC Level,-0.42
42:03:00:00,3,0,11:PRTD 1,-156.53584
42:03:00:00,3,0,12:PRTD 2,-199.10268
42:03:00:00,3,0,13:Ambient Temperature,29.653595
42:03:00:00,3,0,14:LN2 Level,0
42:03:00:00,3,1,15:AC Detector Leakage Current,-261
42:03:00:00,3,1,73:DC Detector Leakage Current,-21.164001
42:03:00:00,3,1,16:Charge Loop DC Level,-0.43999997
42:04:00:00,3,0,11:PRTD 1,-156.48505
42:04:00:00,3,0,12:PRTD 2,-199.09726
42:04:00:00,3,0,13:Ambient Temperature,29.857697
42:04:00:00,3,0,14:LN2 Level,0
42:04:00:00,3,1,15:AC Detector Leakage Current,-261
42:04:00:00,3,1,73:DC Detector Leakage Current,-31.746033
42:04:00:00,3,1,16:Charge Loop DC Level,-0.46
42:05:00:00,3,0,11:PRTD 1,-156.46811
42:05:00:00,3,0,12:PRTD 2,-199.09726
42:05:00:00,3,0,13:Ambient Temperature,29.857697
42:05:00:00,3,0,14:LN2 Level,0
42:05:00:00,3,1,15:AC Detector Leakage Current,-261
42:05:00:00,3,1,73:DC Detector Leakage Current,-10.582001
42:05:00:00,3,1,16:Charge Loop DC Level,-0.42
42:06:00:00,3,0,11:PRTD 1,-156.45682
42:06:00:00,3,0,12:PRTD 2,-199.10268
42:06:00:00,3,0,13:Ambient Temperature,29.857697
42:06:00:00,3,0,14:LN2 Level,0
42:06:00:00,3,1,15:AC Detector Leakage Current,-261
42:06:00:00,3,1,73:DC Detector Leakage Current,0
42:06:00:00,3,1,16:Charge Loop DC Level,-0.4
42:07:00:00,3,0,11:PRTD 1,-156.45117
42:07:00:00,3,0,12:PRTD 2,-199.09726
42:07:00:00,3,0,13:Ambient Temperature,29.857697
42:07:00:00,3,0,14:LN2 Level,0
42:07:00:00,3,1,15:AC Detector Leakage Current,-261
42:07:00:00,3,1,73:DC Detector Leakage Current,0
42:07:00:00,3,1,16:Charge Loop DC Level,-0.4
42:08:00:00,3,0,11:PRTD 1,-156.45117
42:08:00:00,3,0,12:PRTD 2,-199.11353
42:08:00:00,3,0,13:Ambient Temperature,29.857697
42:08:00:00,3,0,14:LN2 Level,0
42:08:00:00,3,1,15:AC Detector Leakage Current,-261
42:08:00:00,3,1,73:DC Detector Leakage Current,0
42:08:00:00,3,1,16:Charge Loop DC Level,-0.4
42:09:00:00,3,0,11:PRTD 1,-156.46246
42:09:00:00,3,0,12:PRTD 2,-199.11353
42:09:00:00,3,0,13:Ambient Temperature,29.857697
42:09:00:00,3,0,14:LN2 Level,0
42:09:00:00,3,1,15:AC Detector Leakage Current,-261
42:09:00:00,3,1,73:DC Detector Leakage Current,0
42:09:00:00,3,1,16:Charge Loop DC Level,-0.4
42:10:00:00,3,0,11:PRTD 1,-156.48505
42:10:00:00,3,0,12:PRTD 2,-199.09726
42:10:00:00,3,0,13:Ambient Temperature,29.653595
42:10:00:00,3,0,14:LN2 Level,0
42:10:00:00,3,1,15:AC Detector Leakage Current,-261
42:10:00:00,3,1,73:DC Detector Leakage Current,0
42:10:00:00,3,1,16:Charge Loop DC Level,-0.4
42:11:00:00,3,0,11:PRTD 1,-156.48505
42:11:00:00,3,0,12:PRTD 2,-199.09183
