Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
84:00:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:00:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:00:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:01:00:00,3,0,11:PRTD 1,-167.06909,
84:01:00:00,3,0,12:PRTD 2,-197.48483,
84:01:00:00,3,0,13:Ambient Temperature,28.633179,
84:01:00:00,3,0,14:LN2 Level,0.0,
84:01:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:01:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:01:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:02:00:00,3,0,11:PRTD 1,-167.10263,
84:02:00:00,3,0,12:PRTD 2,-197.51744,
84:02:00:00,3,0,13:Ambient Temperature,28.020935,
84:02:00:00,3,0,14:LN2 Level,0.0,
84:02:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:02:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:02:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:03:00:00,3,0,11:PRTD 1,-167.0635,
84:03:00:00,3,0,12:PRTD 2,-197.50656,
84:03:00:00,3,0,13:Ambient Temperature,28.83728,
84:03:00:00,3,0,14:LN2 Level,0.0,
84:03:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:03:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:03:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:04:00:00,3,0,11:PRTD 1,-167.10263,
84:04:00:00,3,0,12:PRTD 2,-197.50114,
84:04:00:00,3,0,13:Ambient Temperature,28.020935,
84:04:00:00,3,0,14:LN2 Level,0.0,
84:04:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:04:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:05:00:00,3,0,11:PRTD 1,-167.0635,
84:05:00:00,3,0,12:PRTD 2,-197.50114,
84:05:00:00,3,0,13:Ambient Temperature,28.633179,
84:05:00:00,3,0,14:LN2 Level,0.0,
84:05:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:05:00:00,3,1,73:DC Detector Leakage Current,-24.691298,
84:05:00:00,3,1,16:Charge Loop DC Level,-0.6999999,
84:06:00:00,3,0,11:PRTD 1,-167.09146,
84:06:00:00,3,0,12:PRTD 2,-197.50656,
84:06:00:00,3,0,13:Ambient Temperature,28.020935,
84:06:00:00,3,0,14:LN2 Level,0.0,
84:06:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:06:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:06:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:07:00:00,3,0,11:PRTD 1,-167.0579,
84:07:00:00,3,0,12:PRTD 2,-197.4957,
84:07:00:00,3,0,13:Ambient Temperature,28.633179,
84:07:00:00,3,0,14:LN2 Level,0.0,
84:07:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:07:00:00,3,1,73:DC Detector Leakage Current,-12.345631,
84:07:00:00,3,1,16:Charge Loop DC Level,-0.67999995,
84:08:00:00,3,0,11:PRTD 1,-167.0523,
84:08:00:00,3,0,12:PRTD 2,-197.50114,
84:08:00:00,3,0,13:Ambient Temperature,28.83728,
84:08:00:00,3,0,14:LN2 Level,0.0,
84:08:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:08:00:00,3,1,73:DC Detector Leakage Current,-12.345631,
84:08:00:00,3,1,16:Charge Loop DC Level,-0.67999995,
84:09:00:00,3,0,11:PRTD 1,-167.0579,
84:09:00:00,3,0,12:PRTD 2,-197.49026,
84:09:00:00,3,0,13:Ambient Temperature,28.633179,
84:09:00:00,3,0,14:LN2 Level,0.0,
84:09:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:09:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:09:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:10:00:00,3,0,11:PRTD 1,-167.01877,
84:10:00:00,3,0,12:PRTD 2,-197.50114,
84:10:00:00,3,0,13:Ambient Temperature,28.83728,
84:10:00:00,3,0,14:LN2 Level,0.0,
84:10:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:10:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:10:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:11:00:00,3,0,11:PRTD 1,-167.03555,
84:11:00:00,3,0,12:PRTD 2,-197.4957,
84:11:00:00,3,0,13:Ambient Temperature,28.429108,
84:11:00:00,3,0,14:LN2 Level,0.0,
84:11:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:11:00:00,3,1,73:DC Detector Leakage Current,-12.345631,
84:11:00:00,3,1,16:Charge Loop DC Level,-0.67999995,
84:12:00:00,3,0,11:PRTD 1,-167.02994,
84:12:00:00,3,0,12:PRTD 2,-197.4957,
84:12:00:00,3,0,13:Ambient Temperature,28.633179,
84:12:00:00,3,0,14:LN2 Level,0.0,
84:12:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:12:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:12:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:13:00:00,3,0,11:PRTD 1,-167.03555,
84:13:00:00,3,0,12:PRTD 2,-197.50656,
84:13:00:00,3,0,13:Ambient Temperature,28.83728,
84:13:00:00,3,0,14:LN2 Level,0.0,
84:13:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:13:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:13:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:14:00:00,3,0,11:PRTD 1,-167.02994,
84:14:00:00,3,0,12:PRTD 2,-197.51744,
84:14:00:00,3,0,13:Ambient Temperature,29.041351,
84:14:00:00,3,0,14:LN2 Level,0.0,
84:14:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:14:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:14:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:15:00:00,3,0,11:PRTD 1,-167.0579,
84:15:00:00,3,0,12:PRTD 2,-197.50656,
84:15:00:00,3,0,13:Ambient Temperature,28.429108,
84:15:00:00,3,0,14:LN2 Level,0.0,
84:15:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:15:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
