Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
2:00:00:00,3,1,16:Charge Loop DC Level,-0.42
2:01:00:00,3,0,11:PRTD 1,-157.57959
2:01:00:00,3,0,12:PRTD 2,-198.5275
2:01:00:00,3,0,13:Ambient Temperature,33.53116
2:01:00:00,3,0,14:LN2 Level,0
2:01:00:00,3,1,15:AC Detector Leakage Current,-258
2:01:00:00,3,1,73:DC Detector Leakage Current,10.582031
2:01:00:00,3,1,16:Charge Loop DC Level,-0.37999997
2:02:00:00,3,0,11:PRTD 1,-157.57394
2:02:00:00,3,0,12:PRTD 2,-198.53293
2:02:00:00,3,0,13:Ambient Temperature,33.53116
2:02:00:00,3,0,14:LN2 Level,0
2:02:00:00,3,1,15:AC Detector Leakage Current,-258
2:02:00:00,3,1,73:DC Detector Leakage Current,-10.582001
2:02:00:00,3,1,16:Charge Loop DC Level,-0.42
2:03:00:00,3,0,11:PRTD 1,-157.57959
2:03:00:00,3,0,12:PRTD 2,-198.53293
2:03:00:00,3,0,13:Ambient Temperature,33.53116
2:03:00:00,3,0,14:LN2 Level,0
2:03:00:00,3,1,15:AC Detector Leakage Current,-259
2:03:00:00,3,1,73:DC Detector Leakage Current,0
2:03:00:00,3,1,16:Charge Loop DC Level,-0.4
2:04:00:00,3,0,11:PRTD 1,-157.55139
2:04:00:00,3,0,12:PRTD 2,-198.53293
2:04:00:00,3,0,13:Ambient Temperature,33.73523
2:04:00:00,3,0,14:LN2 Level,0
2:04:00:00,3,1,15:AC Detector Leakage Current,-260
2:04:00:00,3,1,73:DC Detector Leakage Current,0
2:04:00:00,3,1,16:Charge Loop DC Level,-0.4
2:05:00:00,3,0,11:PRTD 1,-157.55704
2:05:00:00,3,0,12:PRTD 2,-198.53293
2:05:00:00,3,0,13:Ambient Temperature,33.73523
2:05:00:00,3,0,14:LN2 Level,0
2:05:00:00,3,1,15:AC Detector Leakage Current,-259
2:05:00:00,3,1,73:DC Detector Leakage Current,0
2:05:00:00,3,1,16:Charge Loop DC Level,-0.4
2:06:00:00,3,0,11:PRTD 1,-157.53447
2:06:00:00,3,0,12:PRTD 2,-198.5275
2:06:00:00,3,0,13:Ambient Temperature,33.73523
2:06:00:00,3,0,14:LN2 Level,0
2:06:00:00,3,1,15:AC Detector Leakage Current,-259
2:06:00:00,3,1,73:DC Detector Leakage Current,0
2:06:00:00,3,1,16:Charge Loop DC Level,-0.4
2:07:00:00,3,0,11:PRTD 1,-157.54012
2:07:00:00,3,0,12:PRTD 2,-198.53293
2:07:00:00,3,0,13:Ambient Temperature,33.73523
2:07:00:00,3,0,14:LN2 Level,0
2:07:00:00,3,1,15:AC Detector Leakage Current,-258
2:07:00:00,3,1,73:DC Detector Leakage Current,10.582031
2:07:00:00,3,1,16:Charge Loop DC Level,-0.37999997
2:08:00:00,3,0,11:PRTD 1,-157.53447
2:08:00:00,3,0,12:PRTD 2,-198.5275
2:08:00:00,3,0,13:Ambient Temperature,33.53116
2:08:00:00,3,0,14:LN2 Level,0
2:08:00:00,3,1,15:AC Detector Leakage Current,-259
2:08:00:00,3,1,73:DC Detector Leakage Current,0
2:08:00:00,3,1,16:Charge Loop DC Level,-0.4
2:09:00:00,3,0,11:PRTD 1,-157.53447
2:09:00:00,3,0,12:PRTD 2,-198.53836
2:09:00:00,3,0,13:Ambient Temperature,33.73523
2:09:00:00,3,0,14:LN2 Level,0
2:09:00:00,3,1,15:AC Detector Leakage Current,-259
2:09:00:00,3,1,73:DC Detector Leakage Current,0
2:09:00:00,3,1,16:Charge Loop DC Level,-0.4
2:10:00:00,3,0,11:PRTD 1,-157.5232
2:10:00:00,3,0,12:PRTD 2,-198.53293
2:10:00:00,3,0,13:Ambient Temperature,33.73523
2:10:00:00,3,0,14:LN2 Level,0
2:10:00:00,3,1,15:AC Detector Leakage Current,-259
2:10:00:00,3,1,73:DC Detector Leakage Current,0
2:10:00:00,3,1,16:Charge Loop DC Level,-0.4
2:11:00:00,3,0,11:PRTD 1,-157.54012
2:11:00:00,3,0,12:PRTD 2,-198.52206
2:11:00:00,3,0,13:Ambient Temperature,33.73523
2:11:00:00,3,0,14:LN2 Level,0
2:11:00:00,3,1,15:AC Detector Leakage Current,-259
2:11:00:00,3,1,73:DC Detector Leakage Current,0
2:11:00:00,3,1,16:Charge Loop DC Level,-0.4
2:12:00:00,3,0,11:PRTD 1,-157.57959
2:12:00:00,3,0,12:PRTD 2,-198.5275
2:12:00:00,3,0,13:Ambient Temperature,33.327087
2:12:00:00,3,0,14:LN2 Level,0
2:12:00:00,3,1,15:AC Detector Leakage Current,-259
2:12:00:00,3,1,73:DC Detector Leakage Current,0
2:12:00:00,3,1,16:Charge Loop DC Level,-0.4
2:13:00:00,3,0,11:PRTD 1,-157.58524
2:13:00:00,3,0,12:PRTD 2,-198.53836
2:13:00:00,3,0,13:Ambient Temperature,33.327087
2:13:00:00,3,0,14:LN2 Level,0
2:13:00:00,3,1,15:AC Detector Leakage Current,-258
2:13:00:00,3,1,73:DC Detector Leakage Current,0
2:13:00:00,3,1,16:Charge Loop DC Level,-0.4
2:14:00:00,3,0,11:PRTD 1,-157.60214
2:14:00:00,3,0,12:PRTD 2,-198.5275
2:14:00:00,3,0,13:Ambient Temperature,33.327087
2:14:00:00,3,0,14:LN2 Level,0
2:14:00:00,3,1,15:AC Detector Leakage Current,-259
2:14:00:00,3,1,73:DC Detector Leakage Current,10.582031
2:14:00:00,3,1,16:Charge Loop DC Level,-0.37999997
2:15:00:00,3,0,11:PRTD 1,-157.60214
2:15:00:00,3,0,12:PRTD 2,-198.5275
2:15:00:00,3,0,13:Ambient Temperature,33.327087
