Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
70:07:00:00,3,0,11:PRTD 1,-166.35881
70:07:00:00,3,0,12:PRTD 2,-197.5283
70:07:00:00,3,0,13:Ambient Temperature,30.061768
70:07:00:00,3,0,14:LN2 Level,0
70:07:00:00,3,1,15:AC Detector Leakage Current,-247
70:07:00:00,3,1,73:DC Detector Leakage Current,-49.382668
70:07:00:00,3,1,16:Charge Loop DC Level,-0.73999995
70:08:00:00,3,0,11:PRTD 1,-166.35321
70:08:00:00,3,0,12:PRTD 2,-197.53374
70:08:00:00,3,0,13:Ambient Temperature,29.857697
70:08:00:00,3,0,14:LN2 Level,0
70:08:00:00,3,1,15:AC Detector Leakage Current,-247
70:08:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:08:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:09:00:00,3,0,11:PRTD 1,-166.35321
70:09:00:00,3,0,12:PRTD 2,-197.5283
70:09:00:00,3,0,13:Ambient Temperature,30.061768
70:09:00:00,3,0,14:LN2 Level,0
70:09:00:00,3,1,15:AC Detector Leakage Current,-247
70:09:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:09:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:10:00:00,3,0,11:PRTD 1,-166.34763
70:10:00:00,3,0,12:PRTD 2,-197.5283
70:10:00:00,3,0,13:Ambient Temperature,30.061768
70:10:00:00,3,0,14:LN2 Level,0
70:10:00:00,3,1,15:AC Detector Leakage Current,-247
70:10:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
70:10:00:00,3,1,16:Charge Loop DC Level,-0.65999997
70:11:00:00,3,0,11:PRTD 1,-166.35321
70:11:00:00,3,0,12:PRTD 2,-197.52287
70:11:00:00,3,0,13:Ambient Temperature,30.061768
70:11:00:00,3,0,14:LN2 Level,0
70:11:00:00,3,1,15:AC Detector Leakage Current,-247
70:11:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:11:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:12:00:00,3,0,11:PRTD 1,-166.34203
70:12:00:00,3,0,12:PRTD 2,-197.5283
70:12:00:00,3,0,13:Ambient Temperature,30.061768
70:12:00:00,3,0,14:LN2 Level,0
70:12:00:00,3,1,15:AC Detector Leakage Current,-247
70:12:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:12:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:13:00:00,3,0,11:PRTD 1,-166.34763
70:13:00:00,3,0,12:PRTD 2,-197.53374
70:13:00:00,3,0,13:Ambient Temperature,30.061768
70:13:00:00,3,0,14:LN2 Level,0
70:13:00:00,3,1,15:AC Detector Leakage Current,-247
70:13:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:13:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:14:00:00,3,0,11:PRTD 1,-166.34763
70:14:00:00,3,0,12:PRTD 2,-197.51201
70:14:00:00,3,0,13:Ambient Temperature,30.061768
70:14:00:00,3,0,14:LN2 Level,0
70:14:00:00,3,1,15:AC Detector Leakage Current,-247
70:14:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:14:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:15:00:00,3,0,11:PRTD 1,-166.34763
70:15:00:00,3,0,12:PRTD 2,-197.51744
70:15:00:00,3,0,13:Ambient Temperature,30.061768
70:15:00:00,3,0,14:LN2 Level,0
70:15:00:00,3,1,15:AC Detector Leakage Current,-247
70:15:00:00,3,1,73:DC Detector Leakage Current,-24.691298
70:15:00:00,3,1,16:Charge Loop DC Level,-0.6999999
70:16:00:00,3,0,11:PRTD 1,-166.34203
70:16:00:00,3,0,12:PRTD 2,-197.52287
70:16:00:00,3,0,13:Ambient Temperature,30.061768
70:16:00:00,3,0,14:LN2 Level,0
70:16:00:00,3,1,15:AC Detector Leakage Current,-247
70:16:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:16:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:17:00:00,3,0,11:PRTD 1,-166.33643
70:17:00:00,3,0,12:PRTD 2,-197.52287
70:17:00:00,3,0,13:Ambient Temperature,30.265839
70:17:00:00,3,0,14:LN2 Level,0
70:17:00:00,3,1,15:AC Detector Leakage Current,-247
70:17:00:00,3,1,73:DC Detector Leakage Current,-24.691298
70:17:00:00,3,1,16:Charge Loop DC Level,-0.6999999
70:18:00:00,3,0,11:PRTD 1,-166.32524
70:18:00:00,3,0,12:PRTD 2,-197.52287
70:18:00:00,3,0,13:Ambient Temperature,30.061768
70:18:00:00,3,0,14:LN2 Level,0
70:18:00:00,3,1,15:AC Detector Leakage Current,-247
70:18:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
70:18:00:00,3,1,16:Charge Loop DC Level,-0.65999997
70:19:00:00,3,0,11:PRTD 1,-166.32524
70:19:00:00,3,0,12:PRTD 2,-197.52287
70:19:00:00,3,0,13:Ambient Temperature,30.061768
70:19:00:00,3,0,14:LN2 Level,0
70:19:00:00,3,1,15:AC Detector Leakage Current,-247
70:19:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:19:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:20:00:00,3,0,11:PRTD 1,-166.33084
70:20:00:00,3,0,12:PRTD 2,-197.53374
70:20:00:00,3,0,13:Ambient Temperature,30.061768
70:20:00:00,3,0,14:LN2 Level,0
70:20:00:00,3,1,15:AC Detector Leakage Current,-247
70:20:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:20:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:21:00:00,3,0,11:PRTD 1,-166.31964
70:21:00:00,3,0,12:PRTD 2,-197.5283
70:21:00:00,3,0,13:Ambient Temperature,30.265839
70:21:00:00,3,0,14:LN2 Level,0
70:21:00:00,3,1,15:AC Detector Leakage Current,-247
70:21:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:21:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:22:00:00,3,0,11:PRTD 1,-166.31964
70:22:00:00,3,0,12:PRTD 2,-197.52287
70:22:00:00,3,0,13:Ambient Temperature,29.857697
70:22:00:00,3,0,14:LN2 Level,0
70:22:00:00,3,1,15:AC Detector Leakage Current,-247
70:22:00:00,3,1,73:DC Detector Leakage Current,-24.691298
70:22:00:00,3,1,16:Charge Loop DC Level,-0.6999999
70:23:00:00,3,0,11:PRTD 1,-166.32524
70:23:00:00,3,0,12:PRTD 2,-197.51201
70:23:00:00,3,0,13:Ambient Temperature,30.061768
70:23:00:00,3,0,14:LN2 Level,0
70:23:00:00,3,1,15:AC Detector Leakage Current,-247
70:23:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:23:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:00:00:00,3,0,11:PRTD 1,-166.33084
71:00:00:00,3,0,12:PRTD 2,-197.51201
71:00:00:00,3,0,13:Ambient Temperature,30.061768
71:00:00:00,3,0,14:LN2 Level,0
71:00:00:00,3,1,15:AC Detector Leakage Current,-247
71:00:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:00:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:01:00:00,3,0,11:PRTD 1,-166.33643
71:01:00:00,3,0,12:PRTD 2,-197.51744
71:01:00:00,3,0,13:Ambient Temperature,30.061768
71:01:00:00,3,0,14:LN2 Level,0
71:01:00:00,3,1,15:AC Detector Leakage Current,-247
71:01:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:01:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:02:00:00,3,0,11:PRTD 1,-166.33643
71:02:00:00,3,0,12:PRTD 2,-197.50656
71:02:00:00,3,0,13:Ambient Temperature,30.061768
71:02:00:00,3,0,14:LN2 Level,0
71:02:00:00,3,1,15:AC Detector Leakage Current,-247
71:02:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:02:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:03:00:00,3,0,11:PRTD 1,-166.33084
71:03:00:00,3,0,12:PRTD 2,-197.51744
71:03:00:00,3,0,13:Ambient Temperature,30.061768
71:03:00:00,3,0,14:LN2 Level,0
71:03:00:00,3,1,15:AC Detector Leakage Current,-247
71:03:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:03:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:04:00:00,3,0,11:PRTD 1,-166.34203
71:04:00:00,3,0,12:PRTD 2,-197.50656
71:04:00:00,3,0,13:Ambient Temperature,30.061768
71:04:00:00,3,0,14:LN2 Level,0
71:04:00:00,3,1,15:AC Detector Leakage Current,-247
71:04:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:05:00:00,3,0,11:PRTD 1,-166.33643
71:05:00:00,3,0,12:PRTD 2,-197.52287
71:05:00:00,3,0,13:Ambient Temperature,30.061768
71:05:00:00,3,0,14:LN2 Level,0
71:05:00:00,3,1,15:AC Detector Leakage Current,-247
71:05:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:05:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:06:00:00,3,0,11:PRTD 1,-166.32524
71:06:00:00,3,0,12:PRTD 2,-197.51201
71:06:00:00,3,0,13:Ambient Temperature,30.061768
71:06:00:00,3,0,14:LN2 Level,0
71:06:00:00,3,1,15:AC Detector Leakage Current,-247
71:06:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:06:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:07:00:00,3,0,11:PRTD 1,-166.31964
71:07:00:00,3,0,12:PRTD 2,-197.51744
71:07:00:00,3,0,13:Ambient Temperature,30.061768
71:07:00:00,3,0,14:LN2 Level,0
71:07:00:00,3,1,15:AC Detector Leakage Current,-247
71:07:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:07:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:08:00:00,3,0,11:PRTD 1,-166.33084
71:08:00:00,3,0,12:PRTD 2,-197.52287
71:08:00:00,3,0,13:Ambient Temperature,30.061768
71:08:00:00,3,0,14:LN2 Level,0
71:08:00:00,3,1,15:AC Detector Leakage Current,-247
71:08:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:08:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:09:00:00,3,0,11:PRTD 1,-166.32524
71:09:00:00,3,0,12:PRTD 2,-197.51744
71:09:00:00,3,0,13:Ambient Temperature,30.061768
71:09:00:00,3,0,14:LN2 Level,0
71:09:00:00,3,1,15:AC Detector Leakage Current,-247
71:09:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:09:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:10:00:00,3,0,11:PRTD 1,-166.33643
71:10:00:00,3,0,12:PRTD 2,-197.52287
71:10:00:00,3,0,13:Ambient Temperature,30.061768
71:10:00:00,3,0,14:LN2 Level,0
71:10:00:00,3,1,15:AC Detector Leakage Current,-247
71:10:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:10:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:11:00:00,3,0,11:PRTD 1,-166.34203
71:11:00:00,3,0,12:PRTD 2,-197.52287
71:11:00:00,3,0,13:Ambient Temperature,30.061768
71:11:00:00,3,0,14:LN2 Level,0
71:11:00:00,3,1,15:AC Detector Leakage Current,-247
71:11:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:11:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:12:00:00,3,0,11:PRTD 1,-166.33084
71:12:00:00,3,0,12:PRTD 2,-197.51201
71:12:00:00,3,0,13:Ambient Temperature,30.061768
71:12:00:00,3,0,14:LN2 Level,0
71:12:00:00,3,1,15:AC Detector Leakage Current,-247
71:12:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:12:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:13:00:00,3,0,11:PRTD 1,-166.32524
71:13:00:00,3,0,12:PRTD 2,-197.51201
71:13:00:00,3,0,13:Ambient Temperature,30.061768
71:13:00:00,3,0,14:LN2 Level,0
71:13:00:00,3,1,15:AC Detector Leakage Current,-247
71:13:00:00,3,1,73:DC Detector Leakage Current,-24.691298
71:13:00:00,3,1,16:Charge Loop DC Level,-0.6999999
71:14:00:00,3,0,11:PRTD 1,-166.34203
71:14:00:00,3,0,12:PRTD 2,-197.51744
71:14:00:00,3,0,13:Ambient Temperature,30.061768
71:14:00:00,3,0,14:LN2 Level,0
71:14:00:00,3,1,15:AC Detector Leakage Current,-247
71:14:00:00,3,1,73:DC Detector Leakage Current,-37.037
71:14:00:00,3,1,16:Charge Loop DC Level,-0.71999997
71:15:00:00,3,0,11:PRTD 1,-166.33643
71:15:00:00,3,0,12:PRTD 2,-197.53374
71:15:00:00,3,0,13:Ambient Temperature,30.061768
71:15:00:00,3,0,14:LN2 Level,0
71:15:00:00,3,1,15:AC Detector Leakage Current,-247
71:15:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:15:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:16:00:00,3,0,11:PRTD 1,-166.34203
71:16:00:00,3,0,12:PRTD 2,-197.52287
71:16:00:00,3,0,13:Ambient Temperature,30.061768
71:16:00:00,3,0,14:LN2 Level,0
71:16:00:00,3,1,15:AC Detector Leakage Current,-247
71:16:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:16:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:17:00:00,3,0,11:PRTD 1,-166.33643
71:17:00:00,3,0,12:PRTD 2,-197.53374
71:17:00:00,3,0,13:Ambient Temperature,30.061768
71:17:00:00,3,0,14:LN2 Level,0
71:17:00:00,3,1,15:AC Detector Leakage Current,-247
71:17:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:17:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:18:00:00,3,0,11:PRTD 1,-166.33084
71:18:00:00,3,0,12:PRTD 2,-197.51744
71:18:00:00,3,0,13:Ambient Temperature,30.061768
71:18:00:00,3,0,14:LN2 Level,0
71:18:00:00,3,1,15:AC Detector Leakage Current,-247
71:18:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:18:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:19:00:00,3,0,11:PRTD 1,-166.31964
71:19:00:00,3,0,12:PRTD 2,-197.5283
71:19:00:00,3,0,13:Ambient Temperature,30.265839
71:19:00:00,3,0,14:LN2 Level,0
71:19:00:00,3,1,15:AC Detector Leakage Current,-247
71:19:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:19:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:20:00:00,3,0,11:PRTD 1,-166.33643
71:20:00:00,3,0,12:PRTD 2,-197.53374
71:20:00:00,3,0,13:Ambient Temperature,30.061768
71:20:00:00,3,0,14:LN2 Level,0
71:20:00:00,3,1,15:AC Detector Leakage Current,-247
71:20:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:20:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:21:00:00,3,0,11:PRTD 1,-166.33643
71:21:00:00,3,0,12:PRTD 2,-197.5283
71:21:00:00,3,0,13:Ambient Temperature,30.061768
71:21:00:00,3,0,14:LN2 Level,0
71:21:00:00,3,1,15:AC Detector Leakage Current,-247
71:21:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:21:00:00,3,1,16:Charge Loop DC Level,-0.65999997
71:22:00:00,3,0,11:PRTD 1,-166.33643
71:22:00:00,3,0,12:PRTD 2,-197.53374
71:22:00:00,3,0,13:Ambient Temperature,29.857697
71:22:00:00,3,0,14:LN2 Level,0
71:22:00:00,3,1,15:AC Detector Leakage Current,-247
71:22:00:00,3,1,73:DC Detector Leakage Current,-12.345631
71:22:00:00,3,1,16:Charge Loop DC Level,-0.67999995
71:23:00:00,3,0,11:PRTD 1,-166.35321
71:23:00:00,3,0,12:PRTD 2,-197.53917
71:23:00:00,3,0,13:Ambient Temperature,30.061768
71:23:00:00,3,0,14:LN2 Level,0
71:23:00:00,3,1,15:AC Detector Leakage Current,-247
71:23:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
71:23:00:00,3,1,16:Charge Loop DC Level,-0.65999997
72:00:00:00,3,0,11:PRTD 1,-166.34763
72:00:00:00,3,0,12:PRTD 2,-197.53374
72:00:00:00,3,0,13:Ambient Temperature,30.061768
72:00:00:00,3,0,14:LN2 Level,0
